"Set","Attractiveness_a"," Smiling_a"," Job_a"," Politik_a"," Hobby_a","Attractiveness_b"," Smiling_b"," Job_b"," Politik_b"," Hobby_b","Attractiveness_c"," Smiling_c"," Job_c"," Politik_c"," Hobby_c"
1,"High"," Yes"," Arbeitslos"," Eher links"," Schwimmen","High"," Yes"," Arbeitslos"," Eher rechts"," Schwimmen"," Low"," Yes"," Arbeitslos","  Eher mittig"," Keine Hobbies"
2," Low"," Yes"," Pfleger"," Eher links"," Tanzen","High"," Yes"," Pfleger","  Eher mittig"," Lesen","High"," No"," Pfleger","  Eher mittig"," Keine Hobbies"
3," Low"," No"," Arbeitslos"," Eher rechts"," Keine Hobbies","High"," Yes"," Maler","  Eher mittig"," Schwimmen"," Low"," No"," Pfleger"," Eher links"," Schwimmen"
4,"High"," No"," Berater"," Eher links"," Lesen","High"," No"," Berater"," Eher rechts"," Keine Hobbies"," Low"," Yes"," Pfleger"," Eher rechts"," Tanzen"
5," Low"," Yes"," Maler","  Eher mittig"," Lesen"," Low"," Yes"," Arbeitslos","  Eher mittig"," Keine Hobbies","High"," Yes"," Pfleger","  Eher mittig"," Lesen"
6,"High"," Yes"," Maler"," Eher rechts"," Schwimmen"," Low"," No"," Berater","  Eher mittig"," Schwimmen","High"," Yes"," Berater"," Eher links"," Lesen"
7," Low"," No"," Pfleger","  Eher mittig"," Schwimmen"," Low"," No"," Maler"," Eher rechts"," Lesen"," Low"," Yes"," Maler"," Eher links"," Keine Hobbies"
8,"High"," Yes"," Berater","  Eher mittig"," Keine Hobbies","High"," Yes"," Berater"," Eher links"," Lesen","High"," No"," Arbeitslos"," Eher links"," Tanzen"
9,"High"," No"," Maler"," Eher rechts"," Tanzen","High"," No"," Arbeitslos"," Eher links"," Tanzen"," Low"," No"," Berater","  Eher mittig"," Schwimmen"
10," Low"," Yes"," Berater"," Eher rechts"," Tanzen"," Low"," No"," Arbeitslos","  Eher mittig"," Lesen","High"," Yes"," Arbeitslos"," Eher rechts"," Schwimmen"
11,"High"," No"," Pfleger"," Eher rechts"," Lesen"," Low"," No"," Pfleger"," Eher links"," Schwimmen"," Low"," Yes"," Berater","  Eher mittig"," Tanzen"
12," Low"," No"," Maler"," Eher links"," Keine Hobbies","High"," No"," Pfleger","  Eher mittig"," Keine Hobbies","High"," Yes"," Maler","  Eher mittig"," Schwimmen"
13,"High"," Yes"," Pfleger"," Eher rechts"," Keine Hobbies"," Low"," Yes"," Pfleger"," Eher rechts"," Tanzen","High"," No"," Maler","  Eher mittig"," Tanzen"
14," Low"," Yes"," Arbeitslos"," Eher rechts"," Lesen","High"," No"," Maler","  Eher mittig"," Tanzen","High"," No"," Berater"," Eher rechts"," Keine Hobbies"
15," Low"," No"," Berater"," Eher rechts"," Schwimmen"," Low"," Yes"," Berater","  Eher mittig"," Tanzen"," Low"," No"," Arbeitslos","  Eher mittig"," Lesen"
16,"High"," No"," Arbeitslos","  Eher mittig"," Tanzen"," Low"," Yes"," Maler"," Eher links"," Keine Hobbies"," Low"," No"," Maler"," Eher rechts"," Lesen"
