NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. In dieser Studie, erforschen wir was Männer attraktiv macht.;2. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;3. [Random Choice]:Set 1;3. [Random Choice]:Set 2;3. [Random Choice]:Set 3;3. [Random Choice]:Set 4;3. [Random Choice]:Set 5;3. [Random Choice]:Set 6;3. [Random Choice]:Set 7;3. [Random Choice]:Set 8;3. [Random Choice]:Set 9;3. [Random Choice]:Set 10;3. [Random Choice]:Set 11;3. [Random Choice]:Set 12;3. [Random Choice]:Set 13;3. [Random Choice]:Set 14;3. [Random Choice]:Set 15;3. [Random Choice]:Set 16;4. Bitte wähle das attraktivste Profil aus.;5. Bitte wähle das attraktivste Profil aus.;6. Bitte wähle das attraktivste Profil aus.;7. Bitte wähle das attraktivste Profil aus.;8. Bitte wähle das attraktivste Profil aus.;9. Bitte wähle das attraktivste Profil aus.;10. Bitte wähle das attraktivste Profil aus.;11. Bitte wähle das attraktivste Profil aus.;12. Bitte wähle das attraktivste Profil aus.;13. Bitte wähle das attraktivste Profil aus.;14. Bitte wähle das attraktivste Profil aus.;15. Bitte wähle das attraktivste Profil aus.;16. Bitte wähle das attraktivste Profil aus.;17. Bitte wähle das attraktivste Profil aus.;18. Bitte wähle das attraktivste Profil aus.;19. Bitte wähle das attraktivste Profil aus.;20. Wie würdest du dich selber auf dem politischen Spektrum einordnen?;21. Wie würdest du deine sexuelle Orientierung beschreiben?;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
1;f;27;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Thannhausen;-;86470;DEU;Android;191;2021-07-06 10:09:05;-;Fast immer;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;-;-;-;-;5C;6C;7C;8A;9B;10B;11C;12B;13C;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
2;f;39;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;No degree;Duesseldorf;x;40477;DEU;ios;107;2021-07-06 09:04:41;-;Fast immer;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1B;2B;3B;4B;5A;6A;-;-;9A;10C;11A;-;-;-;15A;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
3;f;26;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Meschede;-;59872;DEU;iOS;93;2021-07-06 09:03:09;-;Fast immer;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;-;2B;3B;4B;5A;-;7B;-;9A;10C;-;12C;-;-;15A;16B;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
4;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Waltrop;-;45731;DEU;iOS;221;2021-07-06 09:39:26;-;Fast immer;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1C;-;-;4A;5C;6C;7A;8B;-;-;11C;12C;13C;14B;-;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
5;f;41;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Untermeitingen;-;86836;DEU;Android;143;2021-07-06 10:12:27;-;Fast immer;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;-;2B;3B;4A;-;6A;7A;-;9C;10C;-;12B;13C;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
6;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Wetter (Ruhr);-;58300;DEU;iOS;180;2021-07-06 09:35:14;-;Fast immer;1;0;1;1;0;1;0;1;0;1;1;1;0;0;1;1;1A;-;3B;4A;-;6C;-;8A;-;10B;11C;12C;-;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
7;f;71;5;Berlin;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Berlin;x;12169;DEU;ios;231;2021-07-06 10:29:40;-;Fast immer;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1A;2B;-;-;-;6C;7C;8B;9B;10C;-;-;-;14B;15B;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
8;f;39;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Abitur / Fachabitur;Hallenberg;-;59964;DEU;Android;189;2021-07-06 09:39:49;-;Fast immer;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1A;-;-;4A;5C;6C;7C;8B;9B;10B;-;-;13C;-;-;16B;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
9;f;19;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bietigheim-Bissingen;-;74321;DEU;Android;97;2021-07-06 09:25:18;-;Fast immer;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;-;2B;-;-;5C;-;7A;-;9C;-;11C;12C;13C;14B;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
10;f;32;1;Schleswig-Holstein;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Kiel;x;24114;DEU;Android;110;2021-07-06 09:49:55;-;Fast immer;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1A;2B;-;4A;-;6C;7A;-;-;10B;11B;-;13C;-;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
