NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
1,m,33,1,Hamburg,-,-,-,-,-,-,-,Hamburg,1,20535,DEU,0,296,2021-06-25 10:02:12,-,1A,2A,3C,4B,5B,6A,7A,8A,9B,10B,11C,12A,13B,14C,15A,16A,Hai
2,f,23,3b,Baden-Wuerttemberg,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Boeblingen,0,71032,DEU,Android,70,2021-06-18 14:49:09,-,1A,2C,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13A,14B,15B,16A,Hai
3,f,30,3a,Rheinland-Pfalz,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Rheinbrohl,0,56598,DEU,Android,584,2021-06-18 15:02:16,-,1A,2A,3C,4C,5C,6A,7C,8B,9B,10A,11A,12C,13B,14C,15B,16B,Hai
4,m,67,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Dinslaken,0,46539,DEU,Android,131,2021-06-18 14:58:42,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
5,f,42,1,Niedersachsen,-,-,-,-,-,-,-,Vechta,0,49377,DEU,iOS,122,2021-06-18 14:51:13,-,1A,2C,3C,4B,5A,6A,7A,8A,9B,10B,11A,12C,13A,14C,15B,16A,Hai
6,m,46,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Aurich,0,26603,DEU,Android,200,2021-06-18 14:54:56,-,1C,2C,3C,4C,5A,6A,7C,8B,9B,10A,11C,12C,13A,14A,15B,16B,Hai
7,m,21,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Marktgraitz,0,96257,DEU,Android,79,2021-06-18 14:47:01,-,1A,2A,3C,4A,5C,6B,7B,8C,9C,10C,11C,12B,13A,14A,15C,16B,Hai
8,f,43,3a,Hessen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Frankfurt am Main,1,65934,DEU,android,132,2021-06-18 14:53:05,-,1C,2C,3C,4B,5B,6C,7C,8C,9C,10B,11C,12C,13C,14A,15C,16A,Hai
9,f,45,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Koeln,1,50997,DEU,iOS,128,2021-06-18 14:53:32,-,1A,2B,3A,4B,5C,6A,7A,8A,9A,10B,11C,12C,13B,14C,15C,16A,Hai
10,f,28,3a,Hessen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Hauptschulabschluss,Muehlheim am Main,0,63165,DEU,iOS,216,2021-06-18 14:53:11,-,1A,2C,3B,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
11,f,24,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Koeln,1,50667,DEU,Android,106,2021-06-18 14:46:23,-,1C,2C,3A,4B,5B,6A,7B,8B,9C,10B,11C,12C,13A,14C,15C,16B,Hai
12,f,66,6,Sachsen-Anhalt,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Rahnsdorf bei Lutherstadt Wittenberg,0,06895,DEU,Android,267,2021-06-18 14:55:37,-,1A,2B,3A,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
13,m,35,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Koeln,1,51067,DEU,iOS,394,2021-06-18 15:01:55,-,1A,2B,3A,4B,5C,6A,7A,8A,9A,10B,11C,12A,13B,14C,15C,16A,Hai
14,f,72,1,Niedersachsen,in Rente,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Weste,0,29599,DEU,android,166,2021-06-18 14:50:48,-,1A,2B,3C,4C,5A,6C,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
15,f,43,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Hagen,1,58089,DEU,iOS,218,2021-06-18 14:52:40,-,1A,2B,3C,4C,5C,6A,7C,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
16,m,30,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Aachen,1,52078,DEU,iOS,116,2021-06-18 14:52:41,-,1B,2B,3C,4B,5C,6A,7A,8A,9A,10C,11C,12C,13B,14C,15C,16A,Hai
17,f,24,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Erlenmoos,0,88416,DEU,iOS,157,2021-06-18 14:48:32,-,1A,2C,3B,4C,5B,6A,7A,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
18,f,18,3a,Rheinland-Pfalz,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Worms,0,67549,DEU,Android,145,2021-06-18 14:48:59,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
19,m,42,3a,Rheinland-Pfalz,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Grossmaischeid,0,56276,DEU,android,220,2021-06-18 14:49:28,-,1A,2B,3A,4B,5C,6A,7A,8A,9B,10B,11C,12A,13B,14A,15B,16B,Hai
20,m,32,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Paderborn,1,33100,DEU,iOS,193,2021-06-18 14:48:37,-,1A,2B,3B,4C,5C,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16A,Hai
21,f,25,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Pullach im Isartal,0,82049,DEU,iOS,139,2021-06-18 14:55:01,-,1B,2B,3A,4B,5C,6A,7C,8A,9C,10C,11C,12A,13B,14A,15B,16A,Hai
22,f,18,7,Sachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Goerlitz,0,02826,DEU,iOS,41,2021-06-18 14:51:08,-,1A,2A,3A,4B,5A,6B,7B,8C,9C,10B,11A,12B,13C,14A,15B,16B,Hai
23,f,20,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Celle,0,29225,DEU,iOS,1169,2021-06-18 15:09:08,-,1A,2C,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
24,f,46,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Oberursel,0,61440,DEU,Android,306,2021-06-18 14:57:53,-,1A,2B,3B,4B,5C,6B,7C,8A,9B,10C,11A,12A,13B,14A,15B,16B,Hai
25,m,43,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Salzgitter,0,38229,DEU,iOS,158,2021-06-18 14:54:12,-,1A,2B,3A,4B,5C,6A,7C,8A,9B,10C,11C,12A,13B,14A,15C,16B,Hai
26,f,36,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Gummersbach,0,51645,DEU,iOS,96,2021-06-18 14:47:36,-,1C,2B,3B,4C,5C,6B,7A,8C,9B,10A,11C,12C,13B,14B,15B,16A,Hai
27,f,40,2,Nordrhein-Westfalen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Burscheid,0,51399,DEU,android,196,2021-06-18 14:48:20,-,1A,2C,3A,4C,5C,6A,7A,8A,9C,10C,11C,12A,13B,14A,15B,16A,Hai
28,m,41,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Hauptschulabschluss,Cloppenburg,0,49661,DEU,android,166,2021-06-18 15:07:11,-,1B,2B,3A,4B,5B,6A,7A,8A,9A,10B,11C,12A,13B,14C,15C,16C,Hai
29,f,58,6,Sachsen-Anhalt,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Roecken,0,06686,DEU,iOS,168,2021-06-18 14:50:03,-,1A,2B,3C,4C,5C,6A,7C,8B,9B,10B,11B,12C,13B,14A,15C,16B,Hai
30,m,17,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Kuerten,0,51515,DEU,android,256,2021-06-18 14:53:39,-,1A,2B,3A,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
31,m,25,3b,Baden-Wuerttemberg,Sonstige,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Lenningen,0,73252,DEU,Android,137,2021-06-18 14:47:09,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
32,f,23,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Neuwied,0,56564,DEU,android,92,2021-06-18 14:49:44,-,1C,2C,3B,4C,5C,6A,7A,8C,9C,10A,11C,12B,13B,14A,15B,16A,Hai
33,m,38,2,Nordrhein-Westfalen,-,-,-,-,-,-,-,Bonn,1,53229,DEU,iOS,86,2021-06-18 14:52:44,-,1B,2A,3B,4C,5B,6C,7B,8B,9C,10C,11C,12C,13C,14A,15C,16C,Hai
34,f,21,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Siegen,0,57074,DEU,iOS,95,2021-06-18 14:48:02,-,1C,2C,3C,4A,5B,6C,7C,8C,9A,10C,11A,12A,13A,14B,15C,16A,Hai
35,f,56,7,Sachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Markkleeberg,0,04416,DEU,iOS,134,2021-06-18 14:46:49,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
36,m,25,6,Mecklenburg-Vorpommern,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Wismar,0,23966,DEU,iOS,128,2021-06-18 14:58:30,-,1A,2C,3C,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
37,m,36,5,Berlin,Sonstige,Keine Kinder (<18) im Haushalt,3 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Berlin,1,13347,DEU,Android,101,2021-06-18 14:57:18,-,1A,2B,3C,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
38,m,37,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,<1000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Dortmund,1,44141,DEU,Android,110,2021-06-18 14:49:10,-,1A,2C,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
39,m,67,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Nettetal,0,41334,DEU,Android,353,2021-06-18 14:52:05,-,1A,2A,3B,4A,5B,6B,7C,8A,9B,10A,11C,12C,13C,14A,15C,16B,Hai
40,m,28,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Schonungen,0,97453,DEU,iOS,146,2021-06-18 14:52:22,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
41,f,45,5,Berlin,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Berlin,1,12623,DEU,iOS,224,2021-06-18 14:54:06,-,1A,2B,3A,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
42,f,36,3a,Rheinland-Pfalz,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Hauptschulabschluss,Grossmaischeid,0,56276,DEU,android,238,2021-06-18 14:49:02,-,1A,2B,3A,4B,5A,6A,7A,8A,9C,10B,11C,12A,13B,14A,15B,16A,Hai
43,f,18,1,Schleswig-Holstein,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Schwesing,0,25813,DEU,iOS,175,2021-06-18 15:04:24,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
44,m,51,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Kerpen,0,50171,DEU,Android,192,2021-06-18 15:54:16,-,1A,2B,3A,4B,5C,6A,7A,8A,9B,10B,11C,12A,13B,14A,15B,16A,Hai
45,m,27,2,Nordrhein-Westfalen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Voerde,0,46562,DEU,Android,678,2021-06-18 15:02:42,-,1B,2B,3A,4A,5C,6C,7A,8B,9A,10B,11B,12A,13C,14A,15C,16B,Hai
46,m,18,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Dollnstein,0,91795,DEU,android,96,2021-06-18 15:00:50,-,1B,2B,3B,4B,5A,6A,7B,8C,9B,10A,11B,12C,13A,14C,15B,16C,Hai
47,m,42,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Schleid,0,54636,DEU,iOS,200,2021-06-18 14:54:47,-,1A,2B,3B,4C,5C,6A,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
48,m,16,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Ostfildern,0,73760,DEU,Android,119,2021-06-18 14:50:57,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
49,m,21,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,1 Person,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Leverkusen,1,51373,DEU,iOS,103,2021-06-18 14:53:04,-,1A,2A,3C,4A,5C,6B,7A,8C,9B,10C,11B,12C,13B,14A,15A,16B,Hai
50,m,30,6,Brandenburg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Oberbarnim,0,15377,DEU,Android,710,2021-06-18 15:10:32,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
51,m,34,1,Bremen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Bremen,1,28355,DEU,iOS,149,2021-06-18 14:59:37,-,1A,2C,3C,4C,5C,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16A,Hai
52,f,18,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Velbert,0,42551,DEU,iOS,231,2021-06-18 14:50:01,-,1A,2B,3A,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
53,f,35,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Emsdetten,0,48282,DEU,Android,181,2021-06-18 14:48:11,-,1C,2C,3C,4B,5A,6C,7C,8A,9B,10C,11A,12A,13B,14B,15C,16B,Hai
54,m,36,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Langweid am Lech,0,86462,DEU,Android,65,2021-06-18 15:48:19,-,1B,2A,3B,4A,5B,6B,7B,8A,9C,10A,11C,12B,13A,14A,15B,16C,Hai
55,f,31,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Bad Berleburg,0,57319,DEU,android,115,2021-06-18 14:48:10,-,1A,2A,3C,4C,5A,6A,7C,8A,9C,10B,11A,12C,13A,14C,15B,16B,Hai
56,m,51,2,Nordrhein-Westfalen,Sonstige,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Duesseldorf,1,40231,DEU,iOS,80,2021-06-18 14:51:13,-,1A,2B,3B,4A,5C,6C,7C,8A,9B,10A,11B,12C,13A,14A,15A,16C,Hai
