NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
1;f;17;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;No degree;Stuttgart;x;70173;DEU;Android;136;2021-06-18 14:53:18;-;1A;2B;3A;4B;5A;6A;7A;8A;9C;10B;11C;12A;13B;14A;15B;16A;Hai
2;m;33;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Meppen;-;49716;DEU;Android;245;2021-06-18 14:59:08;-;1A;2B;3C;4C;5C;6C;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
3;m;28;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Essen;x;45309;DEU;Android;76;2021-06-18 14:51:24;-;1A;2C;3B;4C;5B;6A;7A;8C;9B;10B;11C;12C;13B;14C;15B;16A;Hai
4;m;34;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Unterschleissheim;-;85716;DEU;android;260;2021-06-18 14:49:25;-;1A;2B;3A;4C;5B;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
5;f;27;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Koenigheim;-;97953;DEU;Android;114;2021-06-18 14:54:37;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
6;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Bochum;x;44894;DEU;android;142;2021-06-18 14:48:59;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
7;m;20;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Nuernberg;x;90449;DEU;android;155;2021-06-18 14:47:57;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
8;f;38;5;Berlin;;;;;;;;Berlin;x;13189;DEU;android;180;2021-06-18 14:49:39;-;1A;2B;3C;4C;5B;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
9;m;28;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Worth;-;21502;DEU;iOS;136;2021-06-18 14:46:52;-;1A;2B;3C;4C;5C;6B;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
10;f;27;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Nuertingen;-;72622;DEU;Android;90;2021-06-18 14:49:36;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11C;12C;13B;14A;15B;16A;Hai
11;f;56;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Essen;x;45145;DEU;Android;172;2021-06-18 14:55:27;-;1A;2C;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14C;15B;16A;Hai
12;f;36;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Neustadt am Ruebenberge;-;31535;DEU;android;117;2021-06-18 14:52:07;-;1B;2B;3B;4C;5B;6B;7A;8A;9B;10A;11B;12C;13B;14A;15B;16A;Hai
13;m;55;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Dornheim;-;99310;DEU;Android;177;2021-06-18 14:59:23;-;1A;2B;3B;4C;5C;6C;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
