"Set","Image_a","Füllung_a"," Preis_a"," Menge_a","Image_b","Füllung_b"," Preis_b"," Menge_b","Image_c","Füllung_c"," Preis_c"," Menge_c"
1,"Weiße"," Vanille"," 2.50€"," 200g","Zartbitter","Erdbeere"," 2.50€"," 100g","Weiße"," Vanille"," 0.50€"," 100g"
2,"Vollmilch"," Vanille"," 1.50€"," 100g","Zartbitter"," Vanille"," 0.50€"," 200g","Vollmilch"," Vanille"," 2.50€"," 100g"
3,"Weiße"," Kiwi"," 0.50€"," 100g","Weiße"," Avocado"," 1.50€"," 200g","Zartbitter","Erdbeere"," 2.50€"," 300g"
4,"Zartbitter"," Kiwi"," 0.50€"," 200g","Vollmilch","Erdbeere"," 2.50€"," 300g","Weiße"," Avocado"," 2.50€"," 200g"
5,"Weiße","Erdbeere"," 1.50€"," 100g","Weiße"," Kiwi"," 2.50€"," 200g","Weiße"," Kiwi"," 0.50€"," 300g"
6,"Weiße"," Avocado"," 2.50€"," 200g","Zartbitter"," Kiwi"," 1.50€"," 200g","Zartbitter"," Vanille"," 1.50€"," 200g"
7,"Weiße"," Avocado"," 2.50€"," 300g","Vollmilch"," Avocado"," 1.50€"," 100g","Zartbitter"," Kiwi"," 1.50€"," 300g"
8,"Weiße"," Avocado"," 1.50€"," 200g","Vollmilch"," Avocado"," 0.50€"," 200g","Vollmilch"," Kiwi"," 0.50€"," 200g"
9,"Zartbitter","Erdbeere"," 2.50€"," 100g","Weiße"," Avocado"," 2.50€"," 300g","Weiße"," Vanille"," 2.50€"," 200g"
10,"Zartbitter"," Vanille"," 1.50€"," 300g","Vollmilch"," Kiwi"," 1.50€"," 300g","Weiße"," Kiwi"," 1.50€"," 100g"
11,"Vollmilch"," Vanille"," 2.50€"," 300g","Zartbitter"," Avocado"," 2.50€"," 300g","Vollmilch"," Kiwi"," 1.50€"," 200g"
12,"Vollmilch"," Kiwi"," 1.50€"," 200g","Zartbitter"," Vanille"," 1.50€"," 100g","Vollmilch"," Avocado"," 2.50€"," 100g"
13,"Weiße"," Kiwi"," 1.50€"," 300g","Vollmilch","Erdbeere"," 0.50€"," 200g","Zartbitter"," Avocado"," 0.50€"," 200g"
14,"Vollmilch"," Avocado"," 1.50€"," 300g","Weiße"," Kiwi"," 0.50€"," 100g","Vollmilch","Erdbeere"," 1.50€"," 100g"
15,"Weiße"," Vanille"," 0.50€"," 100g","Weiße"," Vanille"," 2.50€"," 200g","Vollmilch"," Kiwi"," 2.50€"," 300g"
16,"Vollmilch"," Avocado"," 0.50€"," 100g","Vollmilch"," Vanille"," 0.50€"," 300g","Zartbitter"," Avocado"," 1.50€"," 100g"
17,"Zartbitter"," Avocado"," 2.50€"," 100g","Zartbitter","Erdbeere"," 2.50€"," 200g","Zartbitter"," Kiwi"," 2.50€"," 100g"
18,"Zartbitter"," Vanille"," 0.50€"," 200g","Vollmilch","Erdbeere"," 1.50€"," 200g","Weiße"," Avocado"," 1.50€"," 300g"
19,"Weiße","Erdbeere"," 0.50€"," 300g","Zartbitter"," Kiwi"," 0.50€"," 300g","Vollmilch"," Vanille"," 1.50€"," 300g"
20,"Zartbitter"," Avocado"," 0.50€"," 300g","Vollmilch"," Vanille"," 2.50€"," 100g","Weiße","Erdbeere"," 1.50€"," 200g"
21,"Vollmilch","Erdbeere"," 0.50€"," 300g","Weiße","Erdbeere"," 0.50€"," 300g","Vollmilch","Erdbeere"," 0.50€"," 200g"
22,"Vollmilch"," Kiwi"," 2.50€"," 100g","Zartbitter","Erdbeere"," 1.50€"," 300g","Weiße","Erdbeere"," 2.50€"," 300g"
23,"Zartbitter"," Avocado"," 1.50€"," 100g","Vollmilch"," Kiwi"," 2.50€"," 100g","Zartbitter","Erdbeere"," 0.50€"," 100g"
24,"Vollmilch","Erdbeere"," 2.50€"," 200g","Weiße","Erdbeere"," 0.50€"," 100g","Vollmilch"," Avocado"," 0.50€"," 300g"
25,"Zartbitter","Erdbeere"," 1.50€"," 200g","Weiße"," Vanille"," 1.50€"," 300g","Zartbitter"," Vanille"," 0.50€"," 300g"
26,"Vollmilch"," Avocado"," 0.50€"," 200g","Weiße","Erdbeere"," 1.50€"," 100g","Zartbitter"," Kiwi"," 2.50€"," 200g"
27,"Zartbitter"," Kiwi"," 2.50€"," 300g","Zartbitter"," Avocado"," 0.50€"," 100g","Weiße"," Kiwi"," 0.50€"," 100g"
